Comment,Designator,Footprint,LCSC,Quantity
600@100Mhz,"FB1,FB10,FB11,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB9",R_0603_1608Metric,C1002,11
10uF,"C2,C58",C_1206_3216Metric,C13585,2
SN74LVC3G04,"U17,U18,U19,U20",MSOP-8_3x3mm_P0.65mm,C139324,4
100nF,"C10,C12,C14,C16,C18,C20,C22,C24,C26,C28,C30,C32,C34,C36,C38,C40,C43,C7",C_0402_1005Metric,C1525,18
4.7nF,"C11,C13,C15,C17,C19,C21,C23,C25,C27,C29,C31,C33,C35,C37,C39,C41,C42,C6",C_0402_1005Metric,C1538,18
10uF,"C44,C45,C56,C57,C59,C60,C8,C9",C_0805_2012Metric,C15850,8
4.7nF,C1,C_0805_2012Metric,C1744,1
1M,R1,R_0805_2012Metric,C17514,1
2.2,R33,R_0805_2012Metric,C17521,1
330,"R22,R23,R24,R7",R_0805_2012Metric,C17630,4
10nF,C52,C_1206_3216Metric,C1846,1
1uF,"C3,C53,C55",C_1206_3216Metric,C1848,3
AP2112K-3.3,"U1,U2",SOT-23-5,C22365427,2
LED,D3,D_0805_2012Metric,C2296,1
LED,"D1,D2",D_0805_2012Metric,C2297,2
4.7,"R25,R26,R27,R28,R29,R30,R31,R32,R34",R_0603_1608Metric,C23164,9
100nF,"C47,C49,C51,C54",C_1206_3216Metric,C24497,4
100,R9,R_0402_1005Metric,C25076,1
120,R6,R_0402_1005Metric,C25079,1
200,R14,R_0402_1005Metric,C25087,1
220,R8,R_0402_1005Metric,C25091,1
22,R2,R_0402_1005Metric,C25092,1
330,R16,R_0402_1005Metric,C25104,1
47,"R10,R11,R12,R13,R15,R17,R18,R19,R20,R21,R5",R_0402_1005Metric,C25120,11
74HC174,"U22,U3",TSSOP-16_4.4x5mm_P0.65mm,C2652842,2
5.1k,"R3,R4",R_0805_2012Metric,C27834,2
4.7uF,"C4,C46,C48,C5,C50,C61,C62,C63,C64",C_1206_3216Metric,C29823,9
SW_Push,"SW1,SW2,SW3",XKBConnection-TS_1187A_B_AB,C318884,3
STM32G431CBTx,U21,LQFP-48_7x7mm_P0.5mm,C529355,1
161N-4WVS11,USB1,USB-C-SMD_HANELECTRICITY_161N-4XVS11,C5440753,1
4.7uH,L2,L_1008_2520Metric,C5832360,1
SN74LVC1G04,"U10,U11,U12,U13,U14,U15,U16,U5,U6,U7,U8,U9",SOT-353_SC-70-5,C8207,12
LED,D4,D_0805_2012Metric,C84256,1
RFShield_OnePiece,J2,Laird_Technologies_BMI-S-205-F_38.10x25.40mm,,1
RFShield_OnePiece,J3,Laird_Technologies_BMI-S-205-F_38.10x25.40mm,,1
Conn_ARM_JTAG_SWD_10,J4,Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,,1
