Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0805_2012Metric,134.052,-69.375,90.0,top
C10,100nF,C_0402_1005Metric,180.646,-75.204318,0.0,top
C11,4.7nF,C_0402_1005Metric,180.626001,-74.204316,0.0,top
C12,100nF,C_0402_1005Metric,176.943002,-75.204318,0.0,top
C13,4.7nF,C_0402_1005Metric,176.943,-74.204316,0.0,top
C14,100nF,C_0402_1005Metric,173.133001,-75.204318,0.0,top
C15,4.7nF,C_0402_1005Metric,173.133001,-74.204317,0.0,top
C16,100nF,C_0402_1005Metric,189.744003,-63.329,90.0,top
C17,4.7nF,C_0402_1005Metric,188.728001,-63.329,90.0,top
C18,100nF,C_0402_1005Metric,189.744003,-67.012001,90.0,top
C19,4.7nF,C_0402_1005Metric,188.728001,-67.012,90.0,top
C2,10uF,C_1206_3216Metric,158.6,-47.850001,-90.0,top
C20,100nF,C_0402_1005Metric,189.744003,-70.568,90.0,top
C21,4.7nF,C_0402_1005Metric,188.728001,-70.568,90.0,top
C22,100nF,C_0402_1005Metric,177.58827,-43.837,90.0,top
C23,4.7nF,C_0402_1005Metric,176.572269,-43.837001,90.0,top
C24,100nF,C_0402_1005Metric,177.58827,-47.520001,90.0,top
C25,4.7nF,C_0402_1005Metric,176.572269,-47.520001,90.0,top
C26,100nF,C_0402_1005Metric,177.58827,-51.132,90.0,top
C27,4.7nF,C_0402_1005Metric,176.572269,-51.132001,90.0,top
C28,100nF,C_0402_1005Metric,189.725001,-48.216,90.0,top
C29,4.7nF,C_0402_1005Metric,188.709002,-48.216,90.0,top
C3,1uF,C_1206_3216Metric,140.817,-62.956999,0.0,top
C30,100nF,C_0402_1005Metric,189.725002,-51.899,90.0,top
C31,4.7nF,C_0402_1005Metric,188.709002,-51.899,90.0,top
C32,100nF,C_0402_1005Metric,189.725002,-55.582,90.0,top
C33,4.7nF,C_0402_1005Metric,188.709002,-55.582001,90.0,top
C34,100nF,C_0402_1005Metric,172.82889,-112.291386,135.0,top
C35,4.7nF,C_0402_1005Metric,173.54731,-111.572965,135.0,top
C36,100nF,C_0402_1005Metric,177.033004,-88.113001,0.0,top
C37,4.7nF,C_0402_1005Metric,177.033001,-89.128998,0.0,top
C38,100nF,C_0402_1005Metric,186.565908,-112.152118,-135.0,top
C39,4.7nF,C_0402_1005Metric,185.842537,-111.389149,-135.0,top
C4,4.7uF,C_1206_3216Metric,165.4,-47.850001,-90.0,top
C40,100nF,C_0402_1005Metric,188.46059,-95.110589,-45.0,top
C41,4.7nF,C_0402_1005Metric,187.742171,-95.829009,-45.0,top
C42,4.7nF,C_0402_1005Metric,174.400001,-98.92,90.0,top
C43,100nF,C_0402_1005Metric,173.37,-98.92,90.0,top
C44,10uF,C_0805_2012Metric,180.0,-44.6,0.0,top
C45,10uF,C_0805_2012Metric,191.4,-47.8,90.0,top
C46,4.7uF,C_1206_3216Metric,152.6,-84.8,0.0,top
C47,100nF,C_1206_3216Metric,152.6,-87.4,0.0,top
C48,4.7uF,C_1206_3216Metric,140.0,-84.0,180.0,top
C49,100nF,C_1206_3216Metric,138.25,-81.5,180.0,top
C5,4.7uF,C_1206_3216Metric,144.5,-59.975,-90.0,top
C50,4.7uF,C_1206_3216Metric,141.042983,-74.5,180.0,top
C51,100nF,C_1206_3216Metric,139.75,-70.75,90.0,top
C52,10nF,C_1206_3216Metric,144.75,-71.75,90.0,top
C53,1uF,C_1206_3216Metric,142.25,-70.75,90.0,top
C54,100nF,C_1206_3216Metric,147.25,-71.25,90.0,top
C55,1uF,C_1206_3216Metric,147.25,-66.5,90.0,top
C56,10uF,C_0805_2012Metric,174.4,-114.8,-45.0,top
C57,10uF,C_0805_2012Metric,174.0,-88.2,180.0,top
C58,10uF,C_1206_3216Metric,151.8,-48.2,-90.0,top
C59,10uF,C_0805_2012Metric,189.0,-110.6,45.0,top
C6,4.7nF,C_0402_1005Metric,175.8,-55.12,90.0,top
C60,10uF,C_0805_2012Metric,186.871751,-92.671751,135.0,top
C61,4.7uF,C_1206_3216Metric,149.0,-48.149999,-90.0,top
C62,4.7uF,C_1206_3216Metric,171.8,-56.2,180.0,top
C63,4.7uF,C_1206_3216Metric,171.4,-97.8,90.0,top
C64,4.7uF,C_1206_3216Metric,156.8,-42.6,180.0,top
C7,100nF,C_0402_1005Metric,174.8,-55.12,90.0,top
C8,10uF,C_0805_2012Metric,183.0,-75.2,90.0,top
C9,10uF,C_0805_2012Metric,191.4,-62.749999,90.0,top
D1,LED,D_0805_2012Metric,147.75,-58.5,180.0,top
D2,LED,D_0805_2012Metric,142.8,-95.587501,90.0,top
D3,LED,D_0805_2012Metric,146.8,-95.6,90.0,top
D4,LED,D_0805_2012Metric,150.8,-95.612499,90.0,top
FB1,600@100Mhz,R_0603_1608Metric,166.0,-54.8,0.0,top
FB10,600@100Mhz,R_0603_1608Metric,190.8,-93.2,135.0,top
FB11,600@100Mhz,R_0603_1608Metric,165.8,-97.2,0.0,top
FB2,600@100Mhz,R_0603_1608Metric,138.25,-65.25,180.0,top
FB3,600@100Mhz,R_0603_1608Metric,188.8,-76.4,0.0,top
FB4,600@100Mhz,R_0603_1608Metric,188.2,-61.0,180.0,top
FB5,600@100Mhz,R_0603_1608Metric,183.6,-42.6,0.0,top
FB6,600@100Mhz,R_0603_1608Metric,189.4,-42.8,180.0,top
FB7,600@100Mhz,R_0603_1608Metric,170.8,-114.4,-45.0,top
FB8,600@100Mhz,R_0603_1608Metric,177.4,-85.2,180.0,top
FB9,600@100Mhz,R_0603_1608Metric,188.4,-114.6,45.0,top
J2,RFShield_OnePiece,Laird_Technologies_BMI-S-205-F_38.10x25.40mm,181.0,-102.25,-90.0,top
J3,RFShield_OnePiece,Laird_Technologies_BMI-S-205-F_38.10x25.40mm,181.000001,-59.8,-90.0,top
L2,4.7uH,L_1008_2520Metric,155.2,-46.8,0.0,top
R1,1M,R_0805_2012Metric,131.385,-69.629,90.0,top
R10,47,R_0402_1005Metric,173.626001,-62.894,-135.0,top
R11,47,R_0402_1005Metric,172.826001,-62.094,-135.0,top
R12,47,R_0402_1005Metric,173.336001,-59.394,180.0,top
R13,47,R_0402_1005Metric,173.336,-58.293999,180.0,top
R14,200,R_0402_1005Metric,174.241,-94.844,180.0,top
R15,47,R_0402_1005Metric,173.336001,-60.494,180.0,top
R16,330,R_0402_1005Metric,184.474289,-105.981902,45.0,top
R17,47,R_0402_1005Metric,173.600001,-105.8,-135.0,top
R18,47,R_0402_1005Metric,173.890002,-100.8,180.0,top
R19,47,R_0402_1005Metric,172.765614,-104.937331,-135.0,top
R2,22,R_0402_1005Metric,177.196999,-67.647318,0.0,top
R20,47,R_0402_1005Metric,173.890002,-102.0,180.0,top
R21,47,R_0402_1005Metric,173.890002,-103.2,180.0,top
R22,330,R_0805_2012Metric,142.850001,-99.25,90.0,top
R23,330,R_0805_2012Metric,146.8,-99.25,90.0,top
R24,330,R_0805_2012Metric,150.749999,-99.25,90.0,top
R25,4.7,R_0603_1608Metric,185.6,-76.4,0.0,top
R26,4.7,R_0603_1608Metric,191.2,-60.2,180.0,top
R27,4.7,R_0603_1608Metric,180.4,-42.6,0.0,top
R28,4.7,R_0603_1608Metric,192.0,-44.2,90.0,top
R29,4.7,R_0603_1608Metric,171.4,-112.8,-45.0,top
R3,5.1k,R_0805_2012Metric,137.0,-79.12,0.0,top
R30,4.7,R_0603_1608Metric,177.4,-86.8,180.0,top
R31,4.7,R_0603_1608Metric,187.2,-113.4,45.0,top
R32,4.7,R_0603_1608Metric,189.8,-94.4,135.0,top
R33,2.2,R_0805_2012Metric,145.8,-46.749999,180.0,top
R34,4.7,R_0603_1608Metric,160.0,-43.425,90.0,top
R4,5.1k,R_0805_2012Metric,137.5,-74.5,90.0,top
R5,49.9,R_0402_1005Metric,182.753234,-65.990729,90.0,top
R6,120,R_0402_1005Metric,170.4,-47.421001,90.0,top
R7,330,R_0805_2012Metric,151.25,-58.5,180.0,top
R8,220,R_0402_1005Metric,182.359001,-50.375,90.0,top
R9,100,R_0402_1005Metric,179.223256,-109.705498,-45.0,top
